frame,total_vehicles,cars,motorcycles,buses,trucks,bicycles,people,total_detections
frame_11712.jpg,31,22,0,8,1,0,1,32
frame_11716.jpg,35,22,0,12,1,0,1,36
frame_1172.jpg,43,35,1,3,4,0,1,44
frame_11720.jpg,32,19,0,11,2,0,2,34
frame_11724.jpg,37,25,1,9,2,0,2,39
frame_11728.jpg,37,28,0,7,2,0,2,39
frame_11732.jpg,34,24,0,8,2,0,2,36
frame_11736.jpg,37,27,0,8,2,0,2,39
frame_11740.jpg,41,32,1,6,2,0,2,43
frame_11744.jpg,40,30,1,7,2,0,2,42
frame_11748.jpg,38,30,1,6,1,0,2,40
frame_11752.jpg,37,28,1,7,1,0,2,39
frame_11756.jpg,38,30,0,8,0,0,2,40
frame_1176.jpg,38,33,0,2,3,0,3,41
frame_11760.jpg,36,26,1,9,0,0,2,38
frame_11764.jpg,32,24,0,8,0,0,2,34
frame_11768.jpg,31,20,0,11,0,0,1,32
frame_11772.jpg,33,23,0,10,0,0,1,34
frame_11776.jpg,33,22,0,11,0,0,2,35
frame_11780.jpg,34,24,0,10,0,0,2,36
frame_11784.jpg,34,22,0,12,0,0,2,36
frame_11788.jpg,42,27,0,14,1,0,2,44
frame_11792.jpg,38,26,0,11,1,0,2,40
frame_11796.jpg,38,25,1,11,1,0,2,40
frame_1180.jpg,45,37,0,5,3,0,1,46
frame_11800.jpg,32,22,0,10,0,0,2,34
frame_11804.jpg,31,21,0,9,1,0,2,33
frame_11808.jpg,25,19,0,6,0,0,2,27
frame_11812.jpg,30,24,0,6,0,0,3,33
frame_11816.jpg,29,24,0,5,0,0,2,31
frame_11820.jpg,26,21,0,5,0,0,1,27
frame_11824.jpg,32,26,0,6,0,0,2,34
frame_11828.jpg,33,28,0,5,0,0,2,35
frame_11832.jpg,32,25,0,7,0,0,2,34
frame_11836.jpg,28,22,0,6,0,0,1,29
frame_1184.jpg,44,40,0,2,2,0,3,47
frame_11840.jpg,30,23,0,7,0,0,1,31
frame_11844.jpg,30,23,0,7,0,0,2,32
frame_11848.jpg,31,22,0,9,0,0,2,33
frame_11852.jpg,29,20,0,9,0,0,2,31
frame_11856.jpg,30,21,0,8,1,0,1,31
frame_11860.jpg,27,17,0,10,0,0,2,29
frame_11864.jpg,26,17,0,9,0,0,2,28
frame_11868.jpg,24,17,0,7,0,0,2,26
frame_11872.jpg,25,18,0,7,0,0,2,27
frame_11876.jpg,26,18,0,8,0,0,2,28
frame_1188.jpg,42,37,0,2,3,0,2,44
frame_11880.jpg,25,18,0,7,0,0,2,27
frame_11884.jpg,32,25,0,6,1,0,2,34
frame_11888.jpg,27,22,0,5,0,0,2,29
frame_11892.jpg,31,25,0,6,0,0,2,33
frame_11896.jpg,24,18,0,5,1,0,1,25
frame_11900.jpg,26,20,0,6,0,0,1,27
frame_11904.jpg,23,19,0,4,0,0,1,24
frame_11908.jpg,24,17,0,7,0,0,1,25
frame_11912.jpg,23,17,0,6,0,0,2,25
frame_11916.jpg,26,18,0,8,0,0,2,28
frame_1192.jpg,42,35,0,4,3,0,2,44
frame_11920.jpg,30,21,0,9,0,0,2,32
frame_11924.jpg,29,19,0,10,0,0,2,31
frame_11928.jpg,31,19,0,12,0,0,2,33
frame_11932.jpg,32,21,0,11,0,0,2,34
frame_11936.jpg,33,23,0,10,0,0,2,35
frame_11940.jpg,30,23,0,7,0,0,2,32
frame_11944.jpg,32,25,0,7,0,0,2,34
frame_11948.jpg,30,23,0,7,0,0,1,31
frame_11952.jpg,32,24,0,8,0,0,1,33
frame_11956.jpg,29,21,0,8,0,0,1,30
frame_1196.jpg,43,38,0,3,2,0,3,46
frame_11960.jpg,27,19,0,8,0,0,1,28
frame_11964.jpg,34,26,0,8,0,0,2,36
frame_11968.jpg,34,27,0,7,0,0,2,36
frame_11972.jpg,36,27,0,9,0,0,2,38
frame_11976.jpg,33,24,0,8,1,0,2,35
frame_11980.jpg,33,25,0,8,0,0,2,35
frame_11984.jpg,35,24,0,11,0,0,2,37
